#,NAME,POS.,HT.,WT.,YEAR,HOMETOWN,LAST SCHOOL,MAJOR
0,"Foreman, Korey",DL,76,235,Jr.,"Corona, Calif",Centennial HS,Communication
0,"Lloyd, MarShawn",RB,69,210,R-Jr.,"Wilmington, Del.",DeMatha Catholic HS / South Carolina,Social Sciences
1,"Branch, Zachariah",WR,70,175,Fr.,"Las Vegas, Nev.",Bishop Gorman HS,Real Estate Development
1,"Jackson, Domani",CB,73,190,So.,"Santa Ana, Calif.",Mater Dei HS,Communication
2,"Height, Romello",RUSH,75,230,R-Jr.,"Dublin, Ga.",Dublin HS / Auburn,American Popular Culture
2,"Rice, Brenden",WR,75,210,Sr.,"Chandler, Ariz.",Hamilton HS / Colorado,American Popular Culture
4,"Williams, Mario",WR,69,175,Jr.,"Tampa, Fla.",Plant City HS / Oklahoma,Communication
4,"Williams, Max",S,69,185,R-Sr.,"Carson, Calif.",Serra HS,Master's: Gerontology. Bachelor's: Real Estate Development
6,"Jones, Austin",RB,70,200,R-Sr.,"Antioch, Calif.",Bishop O'Dowd HS / Stanford,Communication
6,"Lucas, Anthony",DL,77,265,So.,"Scottsdale, Ariz.",Chapparal HS / Texas A&M,Undeclared
7,"Bullock, Calen",S,75,190,Jr.,"Pasadena, Calif",John Muir HS,Communication
7,"Moss, Miller",QB,74,200,R-So.,"Los Angeles, Calif.",Bishop Alemany HS,"Law, History and Culture"
8,"Branch, Zion",S,74,210,R-Fr.,"Las Vegas, Nev.",Bishop Gorman HS,Undeclared
8,"Nelson, Malachi",QB,75,190,Fr.,"Los Alamitos, Calif.",Los Alamitos HS,Communication
9,"Davis, Raesjon",ILB,73,220,Jr.,"Norco, Calif.",Mater Dei HS,Communication
9,"Jackson III, Michael",WR,73,200,Jr.,"Las Vegas, Nev.",Desert Pines HS,Real Estate Development
10,"Hudson, Kyron",WR,73,205,R-So.,"Duarte, Calif.",Mater Dei HS,Undeclared
10,"Muhammad, Jamil",RUSH,73,250,R-Sr.,"Madison, Ala.",James Clemens HS / Vanderbilt / Georgia State,Master's: Social Entrepreneurship. Bachelor's: Social Entrepreneurship
13,"Cobb, Mason",ILB,73,235,Sr.,"Provo, Utah",Provo HS / Oklahoma State,Social Sciences
13,"Williams, Caleb",QB,73,215,Jr.,"Washington, D.C.",Gonzaga College HS / Oklahoma,Communication
14,"Brown, Raleek",WR,68,185,So.,"Santa Ana, Calif.",Mater Dei HS,Communication
14,"Covington, Jacobe",CB,74,200,R-Jr.,"Chandler, Ariz.",Saguaro HS / Washington,American Popular Culture
15,"Beavers Jr., Anthony",S,73,210,R-So.,"Baldwin Hills, Calif.",St. Bernard HS,Psychology
15,"Singer, Dorian",WR,73,180,Jr.,"Saint Paul, Minn.",Pinnacle HS / Arizona,Communication
16,"Brown, Prophet",CB,71,190,R-So.,"Sacramento, Calif.",Monterey Trail HS,Communication
16,"Washington, Tahj",WR,70,175,R-Sr.,"Marshall, Texas",Marshall HS / Memphis,Social Sciences
17,"Jensen, Jake",QB,73,220,R-So.,"Pleasant Grove, Utah",Pleasant Grove HS / BYU / Contra Costa JC,Real Estate Development
17,"Roland-Wallace, Christian",CB,73,200,R-Sr.,"Palmdale, Calif.",Williams J. Knight HS / Arizona,Master's: Gerontology Bachelor's: Philosophy
18,"Gentry, Eric",ILB,78,215,Jr.,"Philadelphia, Pa.",Saints Neumann Goretti HS / Arizona State,American Popular Culture
18,"Wolfe, Jude",TE,77,240,R-Sr.,"Laguna Hills, Calif.",St. John Bosco HS,Master's: Communication Management Bachelor's: Real Estate Development
19,"Robinson, Duce",WR,78,225,Fr.,"Phoenix, Ariz.",Pinnacle HS,Communication
19,"Smith, Jaylin",S,71,180,Jr.,"Palmdale, Calif.",Bishop Alemany HS,Communication
21,"Joyner, Quinten",RB,71,205,Fr.,"Paige, Texas",Manor HS,Communication
22,"Barlow, Darwin",RB,73,220,R-Sr.,"Newton, Texas",Newton / TCU,Communication
22,"Wright, Ceyair",CB,73,180,R-So.,"Los Angeles, Calif.",Loyola HS,Communication
23,"Fegans, Tre'Quon",CB,73,190,R-Fr.,"Alabaster, Ala.",Thompson HS / Alabama,Communication
24,"Lemon, Makai",WR,71,190,Fr.,"Los Alamitos, Calif.",Los Alamitos HS,Communication
24,"Pierce, Christian",S,73,195,Fr.,"Fontana, Calif.",Rancho Cucamonga HS,Astronomy
25,"Curtis, Tackett",ILB,74,225,Fr.,"Many, La.",Many HS,Business Administration
26,"Ross, Fabian",CB,73,200,So.,"Las Vegas, Nev.",Bishop Gorman HS,Undeclared
27,"Peterson, A'Marion",RB,73,215,Fr.,"Wichita Falls, Texas",Hirschi HS,Undeclared
27,"Shaw, Bryson",S,73,190,R-Sr.,"Eldersburg, Md.",Bullis School / Ohio State,Political Science
28,"Gordon, Xamarion",S,73,210,R-So.,"Houston, Texas",Warren HS,Communication
28,"Roy, Gage",QB,74,200,So.,"Dallas, Texas",Jesuit Dallas HS,Real Estate Development
29,"Crawford, Maliki",CB,76,175,Fr.,"Oxnard, Calif.",Pacifica HS,Communication
30,"Thompson Jr., Chris",ILB,74,230,Sr.,"Duncanville, Texas",Duncanville HS / Auburn,Business Administration
31,"Taleni, Tyrone",DL,74,275,R-Sr.,"Savaiâ€™i, Western Samoa",Vaiola College HS / Mt. San Antonio JC / Kansas State,Health and Human Sciences
31,"Ward, Isaac",QB,70,185,R-Jr.,"Athens, Ga.",Clarke Central HS,American Popular Culture
34,"Colombo, Matt",RB,70,195,R-Jr.,"El Segundo, Calif",St. John Bosco HS,Business Administration
34,"Shelby, Braylan",RUSH,77,245,Fr.,"Friendswood, Texas",Friendswood HS,Business Administration
35,"McAllister, Michael",P,74,220,R-Jr.,"Carlsbad, Calif.",La Costa Canyon HS,Communication
35,"Peevy , DJ",RUSH,75,265,Fr.,"San Diego, Calif.",Lincoln HS,Communication
36,"Rose, Will",P,73,195,R-Sr.,"Long Beach, Calif.",St. John Bosco HS,Real Estate Development
37,"Czaplicki, Eddie",P/PK,73,205,Jr.,"Charlotte, N.C.",Providence HS / Arizona State,Economics
37,"Thompkins, Devan",DL,77,255,R-Fr.,"Stockton, Calif.",Edison HS,Undeclared
39,"Casasante, Jac",SNP,73,230,R-Sr.,"Altadena, Calif.",Loyola HS,Sociology
39,"Pomerantz, Garrett",RUSH,74,210,So.,"Las Vegas, Nev.",Bishop Gorman HS,Health Promotion
40,"Shamblin, Ty",WR,71,195,R-Jr.,"Carpinteria, Calif.",Oaks Christian HS,Business Administration
40,"Simpson, L",CB,73,205,R-Jr.,"Chatsworth, Calif.",Sierra Canyon HS / Loyola Marymount,Communication and Sociology
41,"Madden, Garrison",ILB,75,220,R-Fr.,"Hampton, Ga.",Dutchtown HS,Health and Human Sciences
42,"Palmer, Deuce",ILB,73,215,Sr.,"Danville, Calif.",San Ramon Valley / SMU,Master's: Computer Science· Bachelor's: Finance
42,"Sleep-Dalton, Aadyn",P,73,190,Sr.,"Geelong, Australia",,Health and Human Sciences
44,"Greene, Sam",RUSH,73,235,Fr.,"Washington, D.C.",St. Frances Academy,Undeclared
44,"Zamora, Josiah",WR,68,175,R-So.,"Monrovia, Calif.",Mater Dei HS,"Law, History and Culture"
46,"Lynch, Denis",PK,68,190,R-So.,"Newbury Park, Calif.",Newbury Park HS,Real Estate Development
46,"Nerhus, Corey",WR,69,210,Jr.,"Huntington Beach, Calif.",Mater Dei HS / Orange Coast CC,Human Biology
47,"Ta'ufo'ou, Stanley",DL,74,275,R-Sr.,"Simi Valley, Calif.",Grace Brethren HS,Non-Governmental Organizations and Social Change
48,"Jimenez-Fulton, Daniel",S,70,185,R-So.,"Chandler, Ariz.",Chandler HS,Business Administration
48,"Meunier, Daniel",SNP,70,230,Sr.,"Lynwood, Calif",Bishop Mora Salesian HS / El Camino JC,Psychology
51,"Byrd, Solomon",RUSH,75,250,R-Sr.,"Palmdale, Calif.",Knight HS / Wyoming,Master's: Gerontology Bachelor's: American Studies
52,"Bravos, Theo",ILB,70,210,Jr.,"Yuba City, Calif.",Sutter Union HS,Business Administration
52,"Kingston, Jarrett",OL,76,305,R-Sr.,"Anderson, Calif.",Anderson HS / Washington State,Master's: Gerontology Bachelor's: Social Science
53,"Lee, Shane",ILB,73,240,R-Sr.,"Burtonsville, Md.",St. Frances Academy / Alabama,Master's: Aging Services Management Bachelor's: Marketing
53,"Weneta, Nathan",SNP,73,235,R-Jr.,"San Diego, Calif.",Cathedral Catholic HS / Purdue,"Philosophy, Politics and Economics"
56,"Dewerk, Andres",OL,79,330,R-Jr.,"San Jose, Calif.",Los Gatos HS,Real Estate Development
56,"Hughes , Elijah",DL,75,270,Fr.,"Arlington, Va.",Washington-Liberty HS,Business Administration
57,"Dedich, Justin",OL,74,295,R-Sr.,"Temecula, Calif.",Chaparral HS,Master's: Dietetics and Food Service Bachelor's: Human Biology
57,"Marchetti, Roman",ILB,74,215,So.,"Tustin, Calif",Foothill HS,Journalism
58,"Tuliaupupu, Solomon",DL,75,270,R-Sr.,"Santa Ana, Calif.",Mater Dei HS,Master's: Project Management Bachelor's: Business Administration
59,"Banuelos, Micah",OL,74,300,Fr.,"Auburn, Wash.",Kennedy Catholic HS,Communication
61,"Susnjar, Jack",OL,78,350,Fr.,"San Pedro, Calif.",Loyola HS,Accounting
62,"Lovelace, Cooper",OL,77,300,R-Sr.,"Prairie Village, Kan.",Shawnee Mission East HS / Butler CC,Communication
65,"Tucker, Grant",OL,74,260,Sr.,"Colorado Springs, Colo.",Rampart HS,Business Administration
66,"Quinones, Gino",OL,75,300,R-Sr.,"Ewa Beach, Hawaii",Saint Louis HS,Geodesign
67,"O'Connor, Kilian",OL,73,285,So.,"Ladera Ranch, Calif.",Santa Margarita Catholic HS,Business Administration
70,"Pregnon, Emmanuel",OL,77,315,Jr.,"Denver, Colo.",Jefferson HS / Wyoming,American Studies and Ethnicity
71,"Tarquin, Michael",OL,77,300,R-Sr.,"Ocala, Fla.",North Marion HS / Florida,Master's: Gerontology Bachelor's: Criminology
72,"Paige, Elijah",OL,79,310,Fr.,"Phoenix, Ariz.",Pinnacle HS,Journalism
73,"Raymond, Tobias",OL,79,300,Fr.,"Ventura, Calif.",Ventura HS,Economics and Math
75,"Talalele, Amos",OL,76,355,Fr.,"Santa Clara, Calif.",Santa Clara HS,Undeclared
76,"Murphy, Mason",OL,77,310,R-So.,"Riverside, CA",JSerra Catholic HS,Sociology
77,"Noa, Alani",OL,76,325,Fr.,"Sacramento, Calif.",Grant Union HS,Undeclared
78,"Milek, Andrew",OL,77,315,R-Jr.,"Chandler, Ariz.",Brophy Prep,Cognitive Science
79,"Benton, Deâ€™jon",DL,73,270,R-Sr.,"Pittsburg, Calif.",Pittsburg HS,Non-Governmental Organizations and Social Change
79,"Monheim, Jonah",OL,77,300,R-Jr.,"Moorpark, Calif.",Moorpark HS,Business Administration
84,"Tabaracci, Carson",TE,74,230,R-Fr.,"Park City, Utah",Park City HS / Utah,Communication
85,"Moore, Jaden",WR,73,180,Fr.,"La Jolla, Calif.",The Bishop's School,Human Biology
86,"Woods, CJ",TE,74,240,R-Jr.,"Long Beach, Calif.",Brentwood School / Cal Poly / Pasadena CC,Undeclared
87,"McRee, Lake",TE,76,245,R-So.,"Austin, Texas",Lake Travis HS,Communication
88,"Eldridge, Kade",TE,76,235,Fr.,"Lynden, Wash.",Lynden Christian School,Human Biology
89,"Lane, Ja'Kobi",WR,76,180,Fr.,"Mesa, Ariz.",Red Mountain HS,Journalism
90,"Alexander, Bear",DL,75,300,So.,"Terrell, Texas",IMG Academy / Georgia,Communication
91,"Laffitte, Deijon",DL,76,305,Fr.,"Ontario, Calif.",Colony HS,Journalism
92,"Barrs, Kyon",DL,74,290,R-Sr.,"Murrieta, Calif.",Murrieta Mesa HS / Arizona,Master's: Gerontology Bachelor's: General Studies Sports and Society
93,"Astani, Sinjun",DL,76,270,R-Sr.,"Malibu, Calif.",Loyola HS / San Jose State,Master's: Construction Engineering Bachelor's: Political Science
94,"Pepe, Kobe",DL,74,320,R-Jr.,"Long Beach, Calif.",St. John Bosco HS,Social Sciences
95,"Otte, Luke",TE,77,260,So.,"Simi Valley, Calif.",Simi Valley HS / Mira Mar CC,Political Economy
95,"Robles, Tyler",PK,67,170,Fr.,"Encinitas, Calif.",La Costa Canyon HS,Undeclared
98,"White, Garth",PK-P,75,215,Jr.,"Westlake, Calif.",Oaks Christian HS / Ventura JC,Economics and Communication
99,"Sullivan, Jack",DL,77,275,R-Sr.,"Plainfield, Ill.",Plainfield East HS / Purdue,Master's: Gerontology Bachelor's: Professional Flight Technology and Aviation Management
